Name,Category,Latitude,Longitude,Zone,Address,Notes
Buddha Tooth Relic Temple,Culture,1.2815,103.8443,Chinatown & CBD,"32 Sago St","Historic temple in Chinatown, UNESCO World Heritage site"
Maxwell Food Centre,Food,1.2803,103.8447,Chinatown & CBD,"1 Maxwell Rd","Famous hawker center with diverse stalls"
Song Fa Bak Kut Teh,Food,1.2891,103.8478,Chinatown & CBD,"11 New Bridge Rd","Michelin-recognized pork rib soup"
Birds of Paradise Gelato,Food,1.2772,103.8423,Chinatown & CBD,"43 Mosque St","Artisan gelato in heritage shophouse"
Sultan Mosque,Culture,1.3023,103.8590,Kampong Glam & Bugis,"3 Muscat St","Beautiful golden-domed mosque"
ATLAS Bar,Bar,1.3005,103.8582,Kampong Glam & Bugis,"60 Tras St","World-famous gin bar"
Ah Chew Desserts,Food,1.2965,103.8558,Kampong Glam & Bugis,"58 Arab St","Traditional Malay desserts and sweets"
Heap Seng Leong,Food,1.3051,103.8631,Kampong Glam & Bugis,"7 Jln Pisang","Popular chicken rice stall"
Gardens by the Bay,Nature,1.2816,103.8636,Civic District & Marina Bay,"18 Marina Gardens Dr","Iconic Supertrees and lush gardens"
Marina Bay Sands SkyPark,Unique,1.2834,103.8607,Civic District & Marina Bay,"10 Bayfront Ave","Stunning rooftop pool with city views"
National Gallery,Museum,1.2902,103.8519,Civic District & Marina Bay,"1 St Andrew's Rd","Art museum in colonial buildings"
Asian Civilisations Museum,Museum,1.2875,103.8514,Civic District & Marina Bay,"39 Armenian St","Museum showcasing Asian cultures"
Singapore Botanic Gardens,Nature,1.3138,103.8159,Orchard & Tanglin,"1 Cluny Rd","UNESCO World Heritage gardens"
JUMBO Seafood (Dempsey),Food,1.3061,103.8068,Orchard & Tanglin,"3A Dempsey Rd","Upscale seafood dining"
No. 5 Emerald Hill,Bar,1.3015,103.8394,Orchard & Tanglin,"5 Emerald Hill","Peranakan-style colonial bar"
Joo Chiat Shophouses,Culture,1.3105,103.9045,Katong & East Coast,"3-5 Joo Chiat Pl","Colorful heritage Peranakan buildings"
Katong Mei Wei Chicken Rice,Food,1.3032,103.8986,Katong & East Coast,"216 Joo Chiat Rd","Legendary chicken rice"
Jewel Changi Airport,Unique,1.3602,103.9898,Worth the Travel,"78 Airport Boulevard","Airport complex with shopping and attractions"
Night Safari (Mandai),Unique,1.4022,103.7880,Worth the Travel,"80 Mandai Lake Road","World's first nocturnal zoo"
Sungei Buloh Wetland,Nature,1.4468,103.7302,Worth the Travel,"301 Neo Tiew Lane","Migratory bird sanctuary"
Haw Par Villa,Unique,1.2839,103.7824,Worth the Travel,"262 Pasir Panjang Rd","Quirky Chinese mythology theme park"
Southern Ridges,Nature,1.2760,103.8154,Worth the Travel,"Canopy Walk","Scenic hillside trails with canopy walkway"